operation,year,sample_label,date,julian_day,leg,lat_deg,lat_min,lat_ns,long_deg,long_min,long_EW,station,ctd,bottle,sample_code,sample_type,depth_level,depth_m,snow_cover,fsw_added_mL,total_volume_after_melting_mL,ice_corrected,sampling_person,sampling_comment,fcm_instrument,fcm_operator,file_fluo_nat,Syn_mL,Pico_mL,Pico_FSC,Pico_SSC,Pico_Chl,Nano_mL,Nano_FSC,Nano_SSC,Nano_Chl,Crypto_mL,Crypto_FSC,Crypto_SSC,Crypto_PE,Crypto_Chl,file_bact,HBact_mL,HBact_SSC,HBact_DNA,LBact_mL,LBact_SSC,LBact_DNA,Bact_mL
Ice camp,2015,IC2015_118_5m,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_118_5m,,354,18.089,0.832,155.773,290,259.429,6.414,1007.6,20,1073.434,164.393,21.483,3286.206,GE15b_118_5m,130305,0.02,0.299,69669,0.01,0.052,199975
Ice camp,2015,IC2015_118_14m,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,,14,14,,,,,A. LeBaron,"ID20m, mais échantillon vent de 14m",FACS Canto,M. Tragin,GE15f_118_14m,,266,14.719,0.742,133.021,168,512.965,48.509,1140.085,7,855.86,384.113,24.63,2313.571,GE15b_118_14m,132288,0.021,0.288,74136,0.01,0.049,206424
Ice camp,2015,IC2015_118_40m,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_118_40m,,47,10.889,0.633,109.157,51,235.075,42.185,1193.769,0,,,,,GE15b_118_40m,124407,0.018,0.274,68619,0.009,0.05,193025
Ice camp,2015,IC2015_118_60m,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_118_60m,,24,22.013,0.597,93.609,7,610.252,44.139,472.197,3,9939.835,736.819,14.199,528.252,GE15b_118_60m,103305,0.018,0.269,67847,0.009,0.048,171153
Ice camp,2015,IC2015_118_0-3HS,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,high,2400,3180,yes,A. LeBaron,,FACS Canto,M. Tragin,GE118F_0-3HS_Rate94,,0,,,,40148,1460.614,152.414,2697.047,0,,,,,GE118B_0-3HS,506303,0.207,1.152,0,,,506303
Ice camp,2015,IC2015_118_0-3LS,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,low,2400,3400,yes,A. LeBaron,,FACS Canto,M. Tragin,GE118F_0-3LS,,0,,,,64950,1740.177,245.389,2423.059,0,,,,,GE118B_0-3LS,579123,0.227,1.389,0,,,579123
Ice camp,2015,IC2015_118_3-10HS,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,high,6000,7960,yes,A. LeBaron,,FACS Canto,M. Tragin,GE118F_3-10HS,,0,,,,6365,818.958,72.286,1629.27,0,,,,,GE118B_3-10HS,98158,0.153,0.904,0,,,98158
Ice camp,2015,IC2015_118_3-10LS,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,low,6000,8150,yes,A. LeBaron,,FACS Canto,M. Tragin,GE118F_3-10LS,,0,,,,5390,1447.454,150.212,1847.267,0,,,,,GE118B_3-10LS,100487,0.162,1.238,0,,,100487
Ice camp,2015,IC2015_118_UI,2015-04-30,118,2,67,28.774,N,63,47.398,W,,,,,,underice,0,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_118_UI,,471,18.627,0.779,117.922,461,569.666,27.458,1109.279,34,5338.501,385.053,7.572,3493.241,GE15b_118_UI,115263,0.019,0.3,71831,0.01,0.046,187093
Ice camp,2015,IC2015_120_1m,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_1m,,82,26.234,0.67,128.102,71,421.599,27.585,2145.244,3,6525.322,756.044,45.111,3382.037,GE15b_120_1m,168580,0.019,0.285,58946,0.01,0.06,227527
Ice camp,2015,IC2015_120_5m,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_5m,,37,8.64,0.932,123.265,75,535.015,67.577,2683.048,14,2370.205,409.449,5.057,1667.967,GE15b_120_5m,160795,0.022,0.28,62277,0.011,0.057,223071
Ice camp,2015,IC2015_120_20m,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_20m,,105,15.863,0.742,126.634,139,549.943,30.725,1561.094,10,3678.028,270.713,18.253,3519.524,GE15b_120_20m,171286,0.021,0.299,57107,0.011,0.058,228393
Ice camp,2015,IC2015_120_40m,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_40m,,34,18.622,0.826,139.974,58,325.979,23.622,1779.136,10,8293.416,774.701,32.223,2756.152,GE15b_120_40m,132295,0.022,0.279,55152,0.01,0.055,187446
Ice camp,2015,IC2015_120_60m,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_60m,,24,17.855,0.692,118.116,20,364.422,7.724,1843.218,3,11527.569,768.205,45.13,4266.187,GE15b_120_60m,123732,0.02,0.277,54893,0.01,0.054,178625
Ice camp,2015,IC2015_120_0-3HS,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,high,2400,3240,yes,Joannie,,FACS Canto,M. Tragin,GE120F_0-3HS,,0,,,,19696,4271.106,271.3,3432.455,0,,,,,GE120B_0-3HS,445569,0.259,1.095,0,,,445569
Ice camp,2015,IC2015_120_0-3LS,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,low,2400,5890,yes,Joannie,,FACS Canto,M. Tragin,GE120F_0-3LS,,0,,,,49721,1725.61,309.965,2294.744,0,,,,,GE120B_0-3LS,612658,0.221,1.559,0,,,612658
Ice camp,2015,IC2015_120_3-10HS,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,high,6000,8066,yes,A. LeBaron,,FACS Canto,M. Tragin,GE120F_3-10HS,,0,,,,21404,2394.5,177.082,2971.378,0,,,,,GE120B_3-10HS,212498,0.154,1.21,0,,,212498
Ice camp,2015,IC2015_120_3-10LS,2015-04-30,120,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,low,6000,7960,yes,A. LeBaron,,FACS Canto,M. Tragin,GE120F_3-10LS,,0,,,,7201,1755.687,199.618,1863.586,0,,,,,GE120B_3-10LS,144464,0.183,1.417,0,,,144464
Ice camp,2015,IC2015_120_UI,2015-05-02,120,2,67,28.774,N,63,47.398,W,,,,,water,underice,0,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_120_UI,,58,15.814,0.717,122.841,88,1892.67,117.94,2654.052,10,3531.813,255.703,10.574,3881.348,GE15b_120_UI,171920,0.021,0.281,62866,0.01,0.057,234786
Ice camp,2015,IC2015_122_1m,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_122_1m,,898,13.467,0.797,140.151,558,499.782,14.178,1343.186,31,444.979,12.242,12.395,1592.755,GE15b_122_1m,154545,0.022,0.297,69902,0.011,0.058,224446
Ice camp,2015,IC2015_122_5m,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_122_5m,,867,12.633,0.823,101.772,429,328.538,19.199,667.069,27,3336.854,320.773,14.741,2369.324,GE15b_122_5m,146420,0.023,0.289,61473,0.011,0.057,207893
Ice camp,2015,IC2015_122_20m,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_122_20m,,116,12.874,0.766,100.065,71,341.305,7.144,793.918,7,128.654,13.398,5.607,992.032,GE15b_122_20m,168170,0.023,0.292,64330,0.011,0.059,232500
Ice camp,2015,IC2015_122_40m,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_122_40m,,27,27.997,0.811,113.326,24,568.986,26.337,1917.657,3,1078.716,488.823,5.268,5832.223,GE15b_122_40m,141705,0.022,0.271,67313,0.01,0.055,209018
Ice camp,2015,IC2015_122_60m,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_122_60m,,37,12.265,0.713,127.249,20,2560.9,133.406,987.937,0,,,,,GE15b_122_60m,123152,0.021,0.261,64455,0.01,0.055,187607
Ice camp,2015,IC2015_122_0-3HS,2015-05-02,122,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,high,2400,3250,yes,Joannie,,FACS Canto,M. Tragin,GE15F_122_0-3HS_Rate97,,0,,,,45265,1855.008,169.733,2433.958,0,,,,,GE15B_122_0-3HS,455853,0.18,1.466,0,,,455853
